2024-05-13 02:54:13,593 INFO    StreamThr :27718 [internal.py:wandb_internal():86] W&B internal server running at pid: 27718, started at: 2024-05-13 02:54:13.592911
2024-05-13 02:54:13,595 DEBUG   HandlerThread:27718 [handler.py:handle_request():146] handle_request: status
2024-05-13 02:54:13,597 INFO    WriterThread:27718 [datastore.py:open_for_write():87] open: /home/srxdhxr/mtcnn4edge/trainnets/wandb/run-20240513_025413-vufy5gy8/run-vufy5gy8.wandb
2024-05-13 02:54:13,598 DEBUG   SenderThread:27718 [sender.py:send():379] send: header
2024-05-13 02:54:13,598 DEBUG   SenderThread:27718 [sender.py:send():379] send: run
2024-05-13 02:54:13,871 INFO    SenderThread:27718 [dir_watcher.py:__init__():211] watching files in: /home/srxdhxr/mtcnn4edge/trainnets/wandb/run-20240513_025413-vufy5gy8/files
2024-05-13 02:54:13,871 INFO    SenderThread:27718 [sender.py:_start_run_threads():1124] run started: vufy5gy8 with start time 1715583253.592178
2024-05-13 02:54:13,872 DEBUG   HandlerThread:27718 [handler.py:handle_request():146] handle_request: check_version
2024-05-13 02:54:13,873 DEBUG   SenderThread:27718 [sender.py:send_request():406] send_request: check_version
2024-05-13 02:54:13,979 DEBUG   HandlerThread:27718 [handler.py:handle_request():146] handle_request: run_start
2024-05-13 02:54:14,027 DEBUG   HandlerThread:27718 [system_info.py:__init__():26] System info init
2024-05-13 02:54:14,027 DEBUG   HandlerThread:27718 [system_info.py:__init__():41] System info init done
2024-05-13 02:54:14,027 INFO    HandlerThread:27718 [system_monitor.py:start():194] Starting system monitor
2024-05-13 02:54:14,027 INFO    SystemMonitor:27718 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-05-13 02:54:14,027 INFO    HandlerThread:27718 [system_monitor.py:probe():214] Collecting system info
2024-05-13 02:54:14,028 INFO    SystemMonitor:27718 [interfaces.py:start():190] Started cpu monitoring
2024-05-13 02:54:14,030 INFO    SystemMonitor:27718 [interfaces.py:start():190] Started disk monitoring
2024-05-13 02:54:14,031 INFO    SystemMonitor:27718 [interfaces.py:start():190] Started gpu monitoring
2024-05-13 02:54:14,031 INFO    SystemMonitor:27718 [interfaces.py:start():190] Started memory monitoring
2024-05-13 02:54:14,032 INFO    SystemMonitor:27718 [interfaces.py:start():190] Started network monitoring
2024-05-13 02:54:14,043 DEBUG   HandlerThread:27718 [system_info.py:probe():150] Probing system
2024-05-13 02:54:14,152 DEBUG   HandlerThread:27718 [system_info.py:_probe_git():135] Probing git
2024-05-13 02:54:14,156 DEBUG   HandlerThread:27718 [system_info.py:_probe_git():143] Probing git done
2024-05-13 02:54:14,156 DEBUG   HandlerThread:27718 [system_info.py:probe():198] Probing system done
